Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,JobDuration,JobDurationMonth
0,0,1,2.0,5.0,7.0,0.66,212,7.066666666666666
0,0,0,3.0,7.0,7.6,0.56,96,3.2
1,1,0,2.0,5.0,8.7,0.79,271,9.033333333333333
0,0,1,0.0,1.0,2.6,0.18,348,11.6
0,1,1,2.0,4.0,4.7,0.33,299,9.966666666666667
1,1,1,2.0,4.0,6.4,0.4,356,11.866666666666667
0,1,0,2.0,5.0,5.8,0.39,336,11.2
0,1,0,1.0,1.0,3.3,0.23,175,5.833333333333333
0,0,1,2.0,4.0,5.9,0.45,394,13.133333333333333
1,0,1,1.0,3.0,7.0,0.52,79,2.6333333333333333
0,1,0,4.0,7.0,7.2,0.6,152,5.066666666666666
1,1,1,3.0,7.0,7.9,0.59,120,4.0
0,1,1,1.0,3.0,5.9,0.36,138,4.6
1,1,0,1.0,3.0,4.4,0.29,335,11.166666666666666
1,1,1,2.0,5.0,5.2,0.34,346,11.533333333333333
0,0,1,2.0,4.0,5.3,0.34,312,10.4
0,0,1,3.0,4.0,5.2,0.46,137,4.566666666666666
1,1,1,2.0,5.0,4.5,0.36,343,11.433333333333334
0,0,0,2.0,3.0,6.6,0.45,54,1.8
0,0,1,3.0,5.0,3.8,0.27,379,12.633333333333333
1,0,0,3.0,7.0,7.6,0.65,372,12.4
0,0,1,3.0,6.0,5.6,0.34,261,8.7
0,1,1,1.0,3.0,5.4,0.37,175,5.833333333333333
1,0,1,1.0,2.0,4.9,0.25,218,7.266666666666667
1,1,0,2.0,5.0,7.3,0.57,270,9.0
1,1,0,2.0,5.0,5.6,0.52,274,9.133333333333333
0,0,0,4.0,8.0,7.8,0.75,108,3.6
0,0,1,4.0,7.0,6.7,0.55,207,6.9
0,1,0,1.0,4.0,6.5,0.43,327,10.9
0,1,1,0.0,1.0,1.8,0.1,170,5.666666666666667
0,0,0,3.0,6.0,8.1,0.68,160,5.333333333333333
1,1,1,3.0,7.0,6.4,0.56,281,9.366666666666667
1,1,1,3.0,8.0,7.2,0.73,372,12.4
0,1,0,2.0,5.0,8.6,0.7,149,4.966666666666667
1,0,0,4.0,8.0,9.5,0.88,44,1.4666666666666666
1,0,1,2.0,6.0,6.8,0.63,172,5.733333333333333
0,1,0,2.0,5.0,6.5,0.62,330,11.0
0,1,1,2.0,3.0,3.5,0.25,140,4.666666666666667
1,1,0,2.0,3.0,4.8,0.4,283,9.433333333333334
1,0,0,3.0,8.0,7.6,0.77,362,12.066666666666666
1,0,1,3.0,6.0,6.2,0.58,350,11.666666666666666
0,0,1,3.0,6.0,3.6,0.3,143,4.766666666666667
1,0,0,3.0,6.0,8.0,0.61,291,9.7
0,1,1,3.0,5.0,6.0,0.4,100,3.3333333333333335
0,1,1,1.0,3.0,3.8,0.33,333,11.1
0,0,1,1.0,2.0,2.4,0.06,304,10.133333333333333
1,1,1,1.0,4.0,4.3,0.36,177,5.9
0,1,1,1.0,2.0,3.7,0.28,136,4.533333333333333
1,0,1,2.0,5.0,5.6,0.37,337,11.233333333333333
0,1,1,0.0,1.0,1.0,0.03,254,8.466666666666667
0,0,1,2.0,5.0,7.2,0.67,147,4.9
1,1,1,1.0,3.0,6.7,0.46,315,10.5
0,1,1,3.0,8.0,7.5,0.72,34,1.1333333333333333
0,1,0,4.0,7.0,7.5,0.65,311,10.366666666666667
0,0,0,0.0,1.0,4.0,0.24,343,11.433333333333334
0,1,1,1.0,3.0,5.3,0.41,63,2.1
0,0,0,2.0,5.0,7.5,0.68,121,4.033333333333333
1,0,0,4.0,7.0,7.7,0.72,368,12.266666666666667
1,1,1,0.0,2.0,4.4,0.33,310,10.333333333333334
1,1,1,3.0,5.0,6.5,0.48,111,3.7
1,0,1,2.0,4.0,5.5,0.48,359,11.966666666666667
1,1,0,2.0,5.0,5.0,0.36,68,2.2666666666666666
1,0,0,4.0,10.0,9.2,0.91,86,2.8666666666666667
0,0,1,1.0,2.0,4.1,0.24,40,1.3333333333333333
0,1,0,3.0,6.0,5.5,0.45,69,2.3
1,1,0,5.0,9.0,8.8,0.85,225,7.5
0,1,0,2.0,4.0,5.5,0.34,257,8.566666666666666
1,0,1,1.0,3.0,5.9,0.36,64,2.1333333333333333
0,1,1,2.0,4.0,4.5,0.34,174,5.8
1,0,0,3.0,6.0,8.0,0.59,278,9.266666666666667
0,1,1,2.0,4.0,5.8,0.44,194,6.466666666666667
1,1,0,1.0,3.0,4.4,0.38,74,2.466666666666667
1,0,0,3.0,6.0,7.5,0.59,34,1.1333333333333333
0,1,0,2.0,7.0,8.0,0.7,226,7.533333333333333
1,0,0,2.0,3.0,6.1,0.42,154,5.133333333333334
1,0,1,1.0,2.0,5.1,0.46,251,8.366666666666667
0,1,1,3.0,5.0,4.7,0.39,353,11.766666666666667
0,1,1,3.0,5.0,5.2,0.42,334,11.133333333333333
1,0,1,0.0,1.0,0.0,0.0,118,3.933333333333333
0,1,1,2.0,5.0,5.1,0.46,103,3.433333333333333
1,0,1,1.0,2.0,4.4,0.3,169,5.633333333333334
0,0,0,4.0,6.0,6.9,0.63,95,3.1666666666666665
0,1,0,2.0,5.0,5.3,0.45,201,6.7
0,1,1,3.0,6.0,6.0,0.58,153,5.1
1,0,0,4.0,7.0,8.6,0.67,392,13.066666666666666
1,1,0,2.0,5.0,7.3,0.71,318,10.6
0,1,1,1.0,3.0,5.5,0.48,293,9.766666666666667
1,1,1,1.0,3.0,2.9,0.22,256,8.533333333333333
0,0,0,3.0,6.0,5.1,0.43,235,7.833333333333333
1,1,0,2.0,5.0,6.4,0.57,351,11.7
0,1,1,3.0,4.0,6.1,0.47,95,3.1666666666666665
0,1,1,3.0,5.0,5.3,0.47,235,7.833333333333333
0,0,1,1.0,4.0,5.5,0.34,111,3.7
0,1,1,1.0,3.0,5.5,0.37,114,3.8
0,1,0,3.0,7.0,7.8,0.8,128,4.266666666666667
1,0,0,4.0,8.0,8.9,0.8,245,8.166666666666666
0,1,1,1.0,4.0,6.9,0.49,193,6.433333333333334
1,1,1,0.0,1.0,0.0,0.0,176,5.866666666666666
1,1,1,4.0,9.0,9.3,0.86,119,3.966666666666667
0,1,1,1.0,2.0,4.6,0.33,324,10.8
0,1,1,3.0,6.0,5.7,0.5,232,7.733333333333333
0,1,1,2.0,4.0,4.5,0.34,101,3.3666666666666667
1,0,1,0.0,2.0,4.7,0.23,345,11.5
1,0,0,4.0,8.0,9.9,0.92,363,12.1
0,1,1,3.0,6.0,6.3,0.44,258,8.6
0,1,1,1.0,3.0,3.6,0.15,134,4.466666666666667
0,1,1,0.0,2.0,4.3,0.32,330,11.0
0,1,1,3.0,4.0,6.5,0.43,184,6.133333333333334
1,1,0,4.0,9.0,8.7,0.78,380,12.666666666666666
1,1,1,0.0,1.0,3.1,0.23,334,11.133333333333333
1,1,1,2.0,4.0,3.6,0.21,203,6.766666666666667
1,1,1,1.0,2.0,3.6,0.23,170,5.666666666666667
0,0,1,3.0,5.0,5.7,0.4,89,2.966666666666667
0,1,1,2.0,5.0,5.7,0.38,69,2.3
0,1,0,0.0,1.0,0.5,0.0,291,9.7
0,0,0,2.0,4.0,3.9,0.33,58,1.9333333333333333
0,0,0,2.0,5.0,7.0,0.62,56,1.8666666666666667
1,1,1,3.0,4.0,5.4,0.36,231,7.7
0,1,1,2.0,3.0,3.7,0.28,242,8.066666666666666
0,1,1,2.0,4.0,6.1,0.41,145,4.833333333333333
1,1,1,0.0,1.0,2.8,0.1,362,12.066666666666666
0,1,0,2.0,4.0,6.9,0.63,92,3.066666666666667
1,1,1,3.0,7.0,7.3,0.67,370,12.333333333333334
1,1,0,3.0,7.0,7.2,0.62,293,9.766666666666667
1,1,1,2.0,7.0,9.0,0.77,303,10.1
0,1,0,0.0,1.0,0.0,0.0,210,7.0
1,0,1,2.0,6.0,5.6,0.51,44,1.4666666666666666
0,1,1,2.0,4.0,6.8,0.61,35,1.1666666666666667
0,1,1,1.0,3.0,5.1,0.41,356,11.866666666666667
0,1,1,3.0,5.0,6.0,0.53,208,6.933333333333334
0,1,1,1.0,3.0,6.8,0.5,47,1.5666666666666667
1,0,1,2.0,5.0,6.5,0.55,76,2.533333333333333
1,1,1,4.0,6.0,5.7,0.49,203,6.766666666666667
1,0,1,3.0,5.0,6.1,0.44,105,3.5
1,1,1,3.0,7.0,8.8,0.7,391,13.033333333333333
0,1,1,1.0,2.0,6.8,0.48,103,3.433333333333333
1,1,0,2.0,5.0,6.8,0.6,379,12.633333333333333
1,0,1,2.0,4.0,5.5,0.48,141,4.7
0,1,1,2.0,3.0,4.5,0.21,96,3.2
0,0,0,2.0,2.0,2.6,0.15,194,6.466666666666667
1,1,0,5.0,10.0,10.0,0.98,110,3.6666666666666665
0,1,1,1.0,2.0,4.3,0.25,85,2.8333333333333335
1,0,0,3.0,8.0,8.8,0.7,351,11.7
0,1,0,4.0,7.0,7.2,0.69,205,6.833333333333333
1,1,1,1.0,3.0,4.4,0.33,152,5.066666666666666
0,1,0,2.0,4.0,5.5,0.44,59,1.9666666666666666
0,0,0,2.0,5.0,7.8,0.57,37,1.2333333333333334
1,0,1,1.0,3.0,4.5,0.27,269,8.966666666666667
1,1,0,4.0,6.0,6.7,0.67,173,5.766666666666667
0,1,0,1.0,1.0,3.4,0.25,372,12.4
0,1,0,0.0,1.0,3.6,0.18,161,5.366666666666666
0,0,0,3.0,7.0,7.9,0.6,364,12.133333333333333
0,1,1,2.0,5.0,5.3,0.39,124,4.133333333333334
0,1,1,1.0,3.0,5.3,0.34,133,4.433333333333334
0,0,0,3.0,6.0,5.5,0.52,83,2.7666666666666666
0,0,0,1.0,3.0,5.4,0.42,279,9.3
1,0,1,1.0,1.0,4.8,0.28,38,1.2666666666666666
0,0,1,2.0,4.0,6.2,0.38,389,12.966666666666667
1,0,0,4.0,6.0,6.9,0.59,259,8.633333333333333
0,0,1,2.0,5.0,8.0,0.62,375,12.5
1,0,0,3.0,7.0,8.7,0.76,140,4.666666666666667
0,1,0,1.0,3.0,4.2,0.33,176,5.866666666666666
1,1,0,2.0,2.0,4.2,0.28,55,1.8333333333333333
0,1,0,3.0,6.0,7.2,0.62,373,12.433333333333334
0,1,1,2.0,4.0,5.2,0.45,116,3.8666666666666667
1,1,1,2.0,2.0,3.3,0.24,140,4.666666666666667
1,1,0,2.0,5.0,6.3,0.53,127,4.233333333333333
1,1,1,2.0,4.0,6.8,0.59,274,9.133333333333333
1,0,1,3.0,5.0,3.8,0.29,363,12.1
0,0,1,1.0,2.0,2.7,0.19,265,8.833333333333334
0,1,0,4.0,7.0,8.1,0.65,346,11.533333333333333
0,0,1,1.0,1.0,1.3,0.02,54,1.8
0,1,1,2.0,4.0,7.0,0.47,108,3.6
0,1,0,2.0,5.0,6.6,0.43,98,3.2666666666666666
0,1,0,2.0,5.0,7.9,0.61,132,4.4
0,0,0,0.0,2.0,4.7,0.33,179,5.966666666666667
0,1,0,2.0,4.0,7.9,0.6,274,9.133333333333333
0,0,0,2.0,6.0,6.4,0.52,335,11.166666666666666
1,1,1,5.0,9.0,9.3,0.93,277,9.233333333333333
1,0,0,2.0,4.0,6.3,0.47,43,1.4333333333333333
1,1,0,3.0,7.0,6.9,0.51,336,11.2
0,1,1,1.0,1.0,4.9,0.26,359,11.966666666666667
0,0,1,3.0,4.0,5.2,0.42,294,9.8
0,1,0,2.0,5.0,6.2,0.58,73,2.433333333333333
0,1,1,1.0,2.0,5.3,0.3,74,2.466666666666667
1,0,1,3.0,6.0,6.2,0.56,173,5.766666666666667
1,0,0,2.0,5.0,6.1,0.57,295,9.833333333333334
0,1,1,2.0,3.0,5.5,0.3,75,2.5
1,1,0,4.0,8.0,9.5,0.86,286,9.533333333333333
1,0,0,2.0,6.0,6.3,0.62,174,5.8
1,1,1,3.0,5.0,5.2,0.41,342,11.4
1,1,1,1.0,4.0,5.1,0.38,224,7.466666666666667
0,1,1,2.0,5.0,5.9,0.41,352,11.733333333333333
0,1,0,2.0,5.0,5.8,0.46,194,6.466666666666667
0,1,0,2.0,4.0,5.9,0.44,254,8.466666666666667
0,0,0,1.0,1.0,3.2,0.24,170,5.666666666666667
0,1,1,2.0,4.0,6.1,0.39,343,11.433333333333334
0,1,0,2.0,4.0,7.5,0.53,353,11.766666666666667
0,1,0,2.0,2.0,3.9,0.21,343,11.433333333333334
1,1,0,4.0,8.0,8.4,0.77,111,3.7
0,0,1,1.0,2.0,6.0,0.37,41,1.3666666666666667
1,1,1,1.0,3.0,4.9,0.38,324,10.8
1,0,1,3.0,4.0,6.3,0.47,239,7.966666666666667
1,1,0,4.0,8.0,8.0,0.69,154,5.133333333333334
1,1,0,2.0,7.0,7.1,0.72,77,2.566666666666667
1,1,0,4.0,8.0,7.3,0.73,220,7.333333333333333
0,0,0,4.0,8.0,8.2,0.72,266,8.866666666666667
0,0,0,2.0,6.0,7.1,0.58,151,5.033333333333333
0,1,1,2.0,5.0,4.5,0.38,332,11.066666666666666
0,1,1,1.0,4.0,5.0,0.36,315,10.5
1,1,0,2.0,5.0,4.2,0.32,90,3.0
1,0,1,1.0,3.0,4.8,0.35,340,11.333333333333334
0,1,1,4.0,8.0,9.4,0.83,130,4.333333333333333
1,1,1,4.0,7.0,7.9,0.73,124,4.133333333333334
1,0,1,0.0,2.0,2.1,0.15,344,11.466666666666667
1,1,1,2.0,5.0,4.2,0.3,98,3.2666666666666666
1,1,0,1.0,3.0,6.6,0.47,306,10.2
0,0,0,4.0,6.0,7.1,0.68,229,7.633333333333334
1,0,0,5.0,10.0,9.7,0.87,175,5.833333333333333
0,0,1,1.0,2.0,5.5,0.4,252,8.4
0,1,0,1.0,3.0,5.2,0.43,255,8.5
1,0,0,4.0,7.0,8.4,0.64,385,12.833333333333334
1,0,0,2.0,3.0,3.4,0.26,179,5.966666666666667
1,1,0,2.0,4.0,7.2,0.59,348,11.6
1,1,0,2.0,6.0,7.0,0.52,141,4.7
0,1,0,2.0,5.0,7.3,0.56,128,4.266666666666667
1,1,0,3.0,6.0,6.5,0.56,240,8.0
1,1,0,1.0,4.0,5.8,0.53,47,1.5666666666666667
1,1,0,2.0,4.0,6.2,0.4,382,12.733333333333333
0,1,0,2.0,4.0,4.2,0.31,296,9.866666666666667
1,1,0,1.0,5.0,6.6,0.54,343,11.433333333333334
1,0,0,2.0,6.0,7.5,0.55,365,12.166666666666666
1,1,1,1.0,2.0,3.8,0.22,210,7.0
0,0,1,3.0,5.0,5.0,0.4,378,12.6
1,1,1,3.0,6.0,7.9,0.64,152,5.066666666666666
1,1,1,3.0,5.0,6.5,0.48,69,2.3
0,1,1,1.0,3.0,5.2,0.39,117,3.9
0,1,1,3.0,5.0,5.6,0.4,211,7.033333333333333
0,0,1,2.0,4.0,6.2,0.49,303,10.1
0,1,0,2.0,2.0,3.9,0.29,232,7.733333333333333
1,1,1,2.0,5.0,6.1,0.41,243,8.1
1,1,1,2.0,5.0,5.5,0.37,81,2.7
1,0,0,3.0,6.0,8.6,0.68,159,5.3
0,1,1,2.0,5.0,7.1,0.58,278,9.266666666666667
0,1,0,2.0,6.0,6.9,0.55,260,8.666666666666666
0,0,1,2.0,3.0,6.9,0.5,179,5.966666666666667
1,0,1,2.0,3.0,6.3,0.44,33,1.1
1,1,1,2.0,3.0,5.7,0.37,227,7.566666666666666
1,1,0,3.0,7.0,6.3,0.62,368,12.266666666666667
1,0,0,2.0,4.0,6.7,0.57,264,8.8
1,1,1,3.0,5.0,4.9,0.37,120,4.0
1,1,1,1.0,4.0,5.4,0.35,356,11.866666666666667
1,1,0,4.0,6.0,7.0,0.55,41,1.3666666666666667
0,1,1,2.0,4.0,6.5,0.61,230,7.666666666666667
1,0,1,2.0,3.0,4.0,0.2,326,10.866666666666667
0,0,1,0.0,1.0,4.0,0.2,280,9.333333333333334
0,1,1,1.0,3.0,3.7,0.17,133,4.433333333333334
1,1,0,2.0,4.0,5.2,0.47,48,1.6
1,1,0,0.0,1.0,2.8,0.12,144,4.8
0,0,0,3.0,6.0,8.2,0.65,288,9.6
0,1,1,3.0,4.0,5.5,0.42,113,3.7666666666666666
0,1,0,1.0,1.0,3.6,0.28,201,6.7
1,0,1,2.0,5.0,6.9,0.67,208,6.933333333333334
0,0,0,5.0,9.0,9.4,0.88,226,7.533333333333333
1,1,1,1.0,3.0,3.6,0.29,386,12.866666666666667
1,1,0,2.0,5.0,6.8,0.6,69,2.3
1,1,1,0.0,1.0,3.8,0.17,255,8.5
0,0,1,1.0,2.0,1.6,0.08,353,11.766666666666667
1,1,0,2.0,4.0,5.4,0.48,61,2.033333333333333
0,1,0,2.0,4.0,7.3,0.51,39,1.3
0,1,1,0.0,2.0,4.0,0.3,328,10.933333333333334
0,1,0,2.0,4.0,7.0,0.54,359,11.966666666666667
0,1,0,4.0,8.0,7.8,0.74,374,12.466666666666667
1,1,1,1.0,3.0,3.4,0.29,156,5.2
1,0,0,3.0,6.0,7.4,0.52,187,6.233333333333333
0,0,0,3.0,6.0,6.6,0.46,217,7.233333333333333
0,1,0,1.0,3.0,4.7,0.37,317,10.566666666666666
1,1,1,1.0,4.0,4.7,0.36,294,9.8
1,0,0,2.0,5.0,4.9,0.39,387,12.9
1,1,0,2.0,6.0,8.7,0.7,74,2.466666666666667
0,0,0,2.0,4.0,5.6,0.38,84,2.8
1,1,1,5.0,9.0,9.4,0.88,165,5.5
1,1,1,1.0,2.0,3.6,0.22,186,6.2
0,1,0,3.0,6.0,7.2,0.63,145,4.833333333333333
1,0,0,2.0,5.0,7.2,0.66,162,5.4
0,1,1,2.0,5.0,6.5,0.49,116,3.8666666666666667
1,1,0,1.0,2.0,5.2,0.44,61,2.033333333333333
0,1,1,2.0,4.0,5.5,0.45,365,12.166666666666666
0,0,1,0.0,1.0,4.1,0.2,151,5.033333333333333
1,1,0,5.0,10.0,9.2,0.75,241,8.033333333333333
0,0,1,1.0,1.0,2.6,0.09,131,4.366666666666666
0,1,0,1.0,2.0,5.5,0.39,364,12.133333333333333
1,1,1,2.0,4.0,2.5,0.14,277,9.233333333333333
0,1,1,3.0,7.0,5.8,0.55,149,4.966666666666667
0,1,1,1.0,1.0,3.2,0.2,368,12.266666666666667
1,0,0,3.0,7.0,8.3,0.66,228,7.6
1,1,0,1.0,3.0,4.6,0.38,170,5.666666666666667
0,1,0,2.0,4.0,6.8,0.46,385,12.833333333333334
1,1,1,1.0,3.0,4.9,0.43,384,12.8
1,1,0,3.0,6.0,6.4,0.51,267,8.9
0,1,0,2.0,4.0,6.9,0.5,388,12.933333333333334
0,1,0,2.0,5.0,6.0,0.55,233,7.766666666666667
0,1,1,3.0,5.0,6.5,0.5,248,8.266666666666667
0,0,1,1.0,2.0,5.7,0.48,78,2.6
1,1,0,2.0,5.0,7.6,0.6,356,11.866666666666667
1,1,0,3.0,5.0,6.0,0.53,64,2.1333333333333333
0,0,1,1.0,3.0,5.6,0.34,43,1.4333333333333333
0,0,1,3.0,5.0,5.7,0.39,83,2.7666666666666666
0,1,0,3.0,4.0,6.3,0.43,75,2.5
1,1,1,3.0,7.0,6.7,0.63,121,4.033333333333333
1,1,1,3.0,6.0,4.7,0.43,251,8.366666666666667
0,0,1,2.0,4.0,3.9,0.32,198,6.6
1,1,1,1.0,4.0,3.8,0.33,188,6.266666666666667
0,0,1,0.0,1.0,3.9,0.21,179,5.966666666666667
1,1,0,4.0,8.0,6.7,0.65,218,7.266666666666667
0,0,1,2.0,2.0,3.5,0.27,322,10.733333333333333
0,1,0,3.0,8.0,7.9,0.76,190,6.333333333333333
0,1,1,1.0,1.0,2.0,0.04,190,6.333333333333333
0,0,0,0.0,1.0,1.7,0.13,40,1.3333333333333333
0,0,1,1.0,4.0,6.7,0.5,397,13.233333333333333
0,1,1,1.0,3.0,3.2,0.11,90,3.0
0,0,1,1.0,2.0,4.9,0.42,259,8.633333333333333
1,1,0,3.0,6.0,8.8,0.7,74,2.466666666666667
1,1,1,3.0,5.0,6.2,0.41,124,4.133333333333334
1,0,0,1.0,3.0,4.2,0.25,158,5.266666666666667
0,0,1,0.0,2.0,3.3,0.18,235,7.833333333333333
0,1,0,1.0,2.0,5.2,0.28,389,12.966666666666667
1,1,1,2.0,3.0,6.4,0.44,386,12.866666666666667
0,0,0,3.0,6.0,6.6,0.52,155,5.166666666666667
0,1,1,1.0,2.0,4.8,0.28,318,10.6
0,0,0,2.0,5.0,6.2,0.53,297,9.9
0,1,1,0.0,2.0,4.7,0.27,251,8.366666666666667
0,1,0,0.0,1.0,3.1,0.14,103,3.433333333333333
0,0,0,3.0,6.0,6.0,0.53,47,1.5666666666666667
0,1,1,1.0,2.0,3.3,0.24,202,6.733333333333333
0,0,0,3.0,6.0,8.1,0.67,392,13.066666666666666
0,0,1,2.0,4.0,6.2,0.38,126,4.2
1,1,1,2.0,6.0,6.9,0.65,100,3.3333333333333335
0,1,0,1.0,3.0,5.5,0.46,98,3.2666666666666666
0,1,0,3.0,5.0,4.2,0.31,353,11.766666666666667
0,1,0,3.0,7.0,6.1,0.55,384,12.8
0,0,0,0.0,1.0,0.0,0.0,133,4.433333333333334
0,0,0,4.0,7.0,6.2,0.51,144,4.8
0,0,1,1.0,3.0,4.7,0.23,305,10.166666666666666
0,1,1,2.0,4.0,5.1,0.41,109,3.6333333333333333
0,1,0,1.0,2.0,4.7,0.27,216,7.2
1,1,1,1.0,3.0,6.1,0.41,180,6.0
0,0,0,2.0,4.0,2.7,0.16,49,1.6333333333333333
1,1,0,4.0,7.0,6.9,0.66,168,5.6
0,1,1,3.0,6.0,5.9,0.49,354,11.8
0,1,0,1.0,3.0,4.4,0.29,242,8.066666666666666
1,1,1,3.0,5.0,6.5,0.47,40,1.3333333333333333
0,1,1,2.0,4.0,4.6,0.31,189,6.3
0,0,0,2.0,5.0,6.8,0.65,316,10.533333333333333
1,0,1,2.0,5.0,6.5,0.51,335,11.166666666666666
1,0,1,1.0,2.0,3.6,0.2,57,1.9
0,1,1,1.0,2.0,3.9,0.25,201,6.7
1,1,0,2.0,6.0,6.4,0.57,114,3.8
0,1,1,3.0,5.0,5.2,0.48,102,3.4
1,1,0,2.0,5.0,7.6,0.73,274,9.133333333333333
